"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048702","embryonic neurocranium morphogenesis","2/39","7/8855",0.285714285714286,64.8717948717949,11.2435085664136,0.000391456872532973,0.306589708718827,0.272590898914756,"TULP3/MTHFD1L",2
"GO:1901186","positive regulation of ERBB signaling pathway","2/39","22/8855",0.0909090909090909,20.6410256410256,6.13461990416389,0.0041300824890061,0.306589708718827,0.272590898914756,"RTN4/FASLG",2
"GO:0008053","mitochondrial fusion","2/39","23/8855",0.0869565217391304,19.7435897435897,5.9862304170095,0.0045108877691515,0.306589708718827,0.272590898914756,"MSTO1/PARL",2
"GO:0045332","phospholipid translocation","2/39","23/8855",0.0869565217391304,19.7435897435897,5.9862304170095,0.0045108877691515,0.306589708718827,0.272590898914756,"ATP11A/FASLG",2
"GO:0048701","embryonic cranial skeleton morphogenesis","2/39","23/8855",0.0869565217391304,19.7435897435897,5.9862304170095,0.0045108877691515,0.306589708718827,0.272590898914756,"TULP3/MTHFD1L",2
"GO:0016331","morphogenesis of embryonic epithelium","3/39","81/8855",0.037037037037037,8.40930674264007,4.45540862018994,0.0053171114118065,0.306589708718827,0.272590898914756,"TULP3/MTHFD1L/ALDH1A2",3
"GO:0034204","lipid translocation","2/39","25/8855",0.08,18.1641025641026,5.71580001340281,0.00531928490994203,0.306589708718827,0.272590898914756,"ATP11A/FASLG",2
"GO:0031076","embryonic camera-type eye development","2/39","26/8855",0.0769230769230769,17.465483234714,5.59205801310059,0.00574660176055782,0.306589708718827,0.272590898914756,"TULP3/ALDH1A2",2
"GO:0097035","regulation of membrane lipid distribution","2/39","27/8855",0.0740740740740741,16.8186134852801,5.4750161675288,0.00618914888261453,0.306589708718827,0.272590898914756,"ATP11A/FASLG",2
"GO:0030308","negative regulation of cell growth","3/39","96/8855",0.03125,7.09535256410256,3.99368176972484,0.00850950093381331,0.306589708718827,0.272590898914756,"RTN4/ACVR1B/GDF9",3
"GO:0021915","neural tube development","3/39","97/8855",0.0309278350515464,7.02220459952419,3.96647913885278,0.00875460519616773,0.306589708718827,0.272590898914756,"TULP3/MTHFD1L/ALDH1A2",3
"GO:1905168","positive regulation of double-strand break repair via homologous recombination","2/39","34/8855",0.0588235294117647,13.3559577677225,4.80090634894828,0.00970216061190104,0.306589708718827,0.272590898914756,"RNF8/ACTR2",2
"GO:1904888","cranial skeletal system development","2/39","35/8855",0.0571428571428571,12.974358974359,4.72082905678921,0.0102617467317547,0.306589708718827,0.272590898914756,"TULP3/MTHFD1L",2
"GO:0001654","eye development","4/39","205/8855",0.0195121951219512,4.4302689180738,3.30493799941773,0.0121798782456048,0.306589708718827,0.272590898914756,"TULP3/FASLG/ALDH1A2/ELP6",4
"GO:0150063","visual system development","4/39","205/8855",0.0195121951219512,4.4302689180738,3.30493799941773,0.0121798782456048,0.306589708718827,0.272590898914756,"TULP3/FASLG/ALDH1A2/ELP6",4
"GO:0048880","sensory system development","4/39","207/8855",0.0193236714975845,4.38746438746439,3.27995844862146,0.0125866523495707,0.306589708718827,0.272590898914756,"TULP3/FASLG/ALDH1A2/ELP6",4
"GO:0009952","anterior/posterior pattern specification","3/39","117/8855",0.0256410256410256,5.82182774490467,3.49192473093394,0.014541908538605,0.306589708718827,0.272590898914756,"TULP3/ALDH1A2/HHEX",3
"GO:0048705","skeletal system morphogenesis","3/39","120/8855",0.025,5.67628205128205,3.43025288146479,0.0155584987544911,0.306589708718827,0.272590898914756,"TULP3/MTHFD1L/COL27A1",3
"GO:0061512","protein localization to cilium","2/39","44/8855",0.0454545454545455,10.3205128205128,4.12211228240177,0.0159147223595706,0.306589708718827,0.272590898914756,"GDI2/TULP3",2
"GO:0051865","protein autoubiquitination","2/39","45/8855",0.0444444444444444,10.0911680911681,4.06634536867494,0.0166090657857379,0.306589708718827,0.272590898914756,"NFX1/RNF8",2
"GO:0002440","production of molecular mediator of immune response","3/39","123/8855",0.024390243902439,5.53783614759224,3.3706276112831,0.0166144975129901,0.306589708718827,0.272590898914756,"RNF8/RTN4/MCM3AP",3
"GO:0045926","negative regulation of growth","3/39","126/8855",0.0238095238095238,5.40598290598291,3.31292882249712,0.0177100684934148,0.306589708718827,0.272590898914756,"RTN4/ACVR1B/GDF9",3
"GO:0048704","embryonic skeletal system morphogenesis","2/39","49/8855",0.0408163265306122,9.26739926739927,3.85961408903416,0.0195132241223888,0.306589708718827,0.272590898914756,"TULP3/MTHFD1L",2
"GO:0009887","animal organ morphogenesis","6/39","496/8855",0.0120967741935484,2.74658808933002,2.66268898328856,0.0202291542838498,0.306589708718827,0.272590898914756,"TULP3/RTN4/FASLG/MTHFD1L/ALDH1A2/COL27A1",6
"GO:0000724","double-strand break repair via homologous recombination","3/39","136/8855",0.0220588235294118,5.00848416289593,3.13315989614375,0.0216493405375303,0.306589708718827,0.272590898914756,"RNF8/ACTR2/MCM7",3
"GO:1901184","regulation of ERBB signaling pathway","2/39","52/8855",0.0384615384615385,8.732741617357,3.71951308896329,0.0218211466599186,0.306589708718827,0.272590898914756,"RTN4/FASLG",2
"GO:0002138","retinoic acid biosynthetic process","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"ALDH1A2",1
"GO:0009256","10-formyltetrahydrofolate metabolic process","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"MTHFD1L",1
"GO:0016102","diterpenoid biosynthetic process","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"ALDH1A2",1
"GO:0018026","peptidyl-lysine monomethylation","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"SMYD2",1
"GO:0030002","intracellular monoatomic anion homeostasis","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"FASLG",1
"GO:0030644","intracellular chloride ion homeostasis","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"FASLG",1
"GO:0033206","meiotic cytokinesis","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"ACTR2",1
"GO:0033625","positive regulation of integrin activation","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"SKAP1",1
"GO:0034165","positive regulation of toll-like receptor 9 signaling pathway","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"RTN4",1
"GO:0051305","chromosome movement towards spindle pole","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"ACTR2",1
"GO:0071787","endoplasmic reticulum tubular network formation","1/39","5/8855",0.2,45.4102564102564,6.60637039066796,0.0218332198264126,0.306589708718827,0.272590898914756,"RTN4",1
